	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
f7994b9d, 22aa7ace, dacc2b80, dacc2b80, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
f7b125b0, 4c15e5c7, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
08e04f76, 9384f304, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
cb929ab3, 3984ac74, c597f50e, c597f50e, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
074aceeb, 5fda412e, 27ace7d7, 27ace7d7, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
7ac5080a, 1e570ffd, 59a5860e, 59a5860e, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
59585c65, a91aa6d9, c302b499, c302b499, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
0e7e7d76, 7592a23b, 4491c4d3, 4491c4d3, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
88642b89, 1d9ab896, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
4e399a08, e8b9a6ac, f7869927, f7869927, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
8310c1e3, 7340ca53, b6da07a5, b6da07a5, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
d679b9af, fc593d63, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
7f4f51dc, f6ca6713, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
77e1e29d, 8fd4701b, c83b7295, c83b7295, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
05c7a81f, 6fe50958, 3632a0ad, 3632a0ad, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
ca27421d, 67ad75ac, f262a91f, f262a91f, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
157b8307, f5d0fa03, cbcd5017, cbcd5017, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
69cc4199, 6fe69523, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
f6f377c3, ffdfc87c, 7fc00000, 7fc00000, 	 2, 		0, 			0, 			1, 		1, 		0, 		1	
02fbade7, bcad86ba, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
c6fac47f, 3539a502, bcb5d9a3, bcb5d9a3, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
1521b967, 5a7f4bbe, 30214786, 30214786, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
1f684b74, 5b55a6bf, 3b41de15, 3b41de15, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
edebd3bb, 933cd25e, 41adf147, 41adf147, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
58138161, 8958ff97, a1fa10de, a1fa10de, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
c1763239, 8f499bc1, 1141e338, 1141e338, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
a441029b, 7ae89136, dfaf57d8, dfaf57d8, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
b8bc93dc, 8ff0a10b, 0931413f, 0931413f, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
09d55ef9, 27170774, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
678c358b, 526ccd14, 7a81b1ad, 7a81b1ad, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
34ee78da, cf910738, c507192d, c507192d, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
5af013ce, abb823a9, c72cafae, c72cafae, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
79bfb281, 4124a9c0, 7b769aee, 7b769aee, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
