	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
a13a7cc4, 6fd4ba9b, d19af741, d19af741, 	 3, 		1, 			1, 			1, 		0, 		0 
7609ba9f, 69db658a, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
2cc44ad0, f34681da, e098356d, e098356d, 	 3, 		1, 			1, 			1, 		0, 		0 
0f7dcf99, 920ef397, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
e594dad6, 3b5e7f65, e1815fd8, e1815fd8, 	 3, 		1, 			1, 			1, 		0, 		0 
84e02cac, 47014a3b, 8c626f06, 8c626f06, 	 3, 		1, 			0, 			1, 		0, 		0 
00000000, ff800000, 7fc00000, 80000000, 	 3, 		0, 			0, 			0, 		0, 		0 
09c45867, e85deb45, b2aa34c2, b2aa34c2, 	 3, 		1, 			1, 			1, 		0, 		0 
247e6396, 04a51313, 00000000, 00000000, 	 3, 		0, 			0, 			1, 		0, 		1 
fa2925c4, 44cbcf3d, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
197b8618, 250ce254, 00000000, 00000000, 	 3, 		0, 			0, 			1, 		0, 		1 
f351b5cf, 7f800000, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
75f55c04, 4b6a7f86, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
657333aa, 79fb57ed, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
f674425e, bee305e5, 75d89c7a, 75d89c7a, 	 3, 		0, 			1, 			1, 		0, 		0 
11ab3a64, 4e0bfea9, 203b4613, 203b4613, 	 3, 		1, 			0, 			1, 		0, 		0 
167e55d1, 8a22e64a, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
f6b4b912, 80000000, 00000000, 00000000, 	 3, 		0, 			0, 			0, 		0, 		0 
6fa66683, 9f1e1a42, cf4d88ac, cf4d88ac, 	 3, 		0, 			1, 			1, 		0, 		0 
ed938e2c, 993cdb85, 4759b5e0, 4759b5e0, 	 3, 		0, 			1, 			1, 		0, 		0 
80000000, 7fe2d51c, 7fc00000, 80000000, 	 3, 		0, 			0, 			0, 		0, 		0 
92c12030, 58c50f76, ac14a96e, ac14a96e, 	 3, 		1, 			1, 			1, 		0, 		0 
7f800000, 2db190a9, 7f800000, 7f800000, 	 3, 		0, 			0, 			0, 		0, 		0 
17bb36b3, 084bb624, 00000000, 00000000, 	 3, 		0, 			0, 			1, 		0, 		1 
ddd9e342, e646d0cb, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
6b930ccf, ef96c6e6, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
8a9ad16d, 6e1dff36, b93f198e, b93f198e, 	 3, 		0, 			1, 			1, 		0, 		0 
56605fa2, d1aab144, e8959adf, e8959adf, 	 3, 		0, 			1, 			1, 		0, 		0 
0ca7260c, cc9312a5, 99c00e0a, 99c00e0a, 	 3, 		1, 			0, 			1, 		0, 		0 
7cf1d3a1, dba37778, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
3891ac33, 2cbd21d2, 25d73ec1, 25d73ec1, 	 3, 		1, 			1, 			1, 		0, 		0 
b6fc3597, 9f5ffd9e, 16dcac8c, 16dcac8c, 	 3, 		0, 			1, 			1, 		0, 		0 
fe823f60, af2e917c, 6e31a231, 6e31a231, 	 3, 		0, 			1, 			1, 		0, 		0 
f183ed36, 9d0de54d, 4f123fa4, 4f123fa4, 	 3, 		0, 			1, 			1, 		0, 		0 
b3ac0673, 2542dab2, 9982efd8, 9982efd8, 	 3, 		0, 			1, 			1, 		0, 		0 
60a9acec, 6f51ab07, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
cdd3846a, 8991dfe8, 17f10e01, 17f10e01, 	 3, 		0, 			1, 			1, 		0, 		0 
69ed2968, 06304fc6, 30a3565f, 30a3565f, 	 3, 		1, 			1, 			1, 		0, 		0 
741e8eb8, 50c1a6ae, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
abc2c837, b1dffef3, 1e2a6e64, 1e2a6e64, 	 3, 		0, 			1, 			1, 		0, 		0 
1427fff0, 822532be, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
c3389999, b337673f, 37044040, 37044040, 	 3, 		1, 			0, 			1, 		0, 		0 
3eab771f, 6f0c7ef1, 6e3c3457, 6e3c3457, 	 3, 		0, 			0, 			1, 		0, 		0 
05b6d616, 8b99b53b, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
ffaf5ce6, 7f800000, 7fc00000, 7fc00000, 	 3, 		0, 			0, 			0, 		1, 		0 
57f5aa5b, efc964b2, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
bbdb4bc3, 703da6c3, eca275c9, eca275c9, 	 3, 		0, 			1, 			1, 		0, 		0 
