	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
c2eb81e5, 3d1a8dfe, c08e2ec4, c08e2ec4, 	 4, 		1, 			1, 			1, 		0, 		0 
c04dd346, bd6be800, 3e3dab78, 3e3dab78, 	 1, 		1, 			1, 			1, 		0, 		0 
3dbcf889, 42a9fd17, 40faf5ca, 40faf5ca, 	 1, 		0, 			0, 			1, 		0, 		0 
c0716c96, 43b56d0b, c4ab189c, c4ab189b, 	 5, 		1, 			1, 			0, 		0, 		0 
3e0ffa05, 43aaed80, 42404333, 42404333, 	 2, 		1, 			0, 			1, 		0, 		0 
c06ba7b5, bde5dff6, 3ed39b2e, 3ed39b2e, 	 4, 		0, 			1, 			1, 		0, 		0 
3c487414, bf46c52e, bc1ba42c, bc1ba42c, 	 1, 		1, 			1, 			1, 		0, 		0 
3cf50671, 420e4c45, 3f883293, 3f883293, 	 0, 		1, 			1, 			1, 		0, 		0 
40654484, 3c5aab26, 3d43d5a0, 3d43d5a0, 	 3, 		0, 			1, 			1, 		0, 		0 
3c7c33e3, 3e753adb, 3b7197a3, 3b7197a3, 	 2, 		1, 			1, 			1, 		0, 		0 
4337819b, bb95a0b9, bf568349, bf568346, 	 1, 		1, 			1, 			0, 		0, 		0 
c2a23b40, bdd8b583, 41095504, 41095504, 	 1, 		1, 			1, 			1, 		0, 		0 
42f6d05f, 4065c105, 43dd827c, 43dd827c, 	 2, 		1, 			1, 			1, 		0, 		0 
3d956e0f, bc60aaa1, ba8323e6, ba8323e6, 	 1, 		0, 			1, 			1, 		0, 		0 
bd434142, c38874fd, 415027cb, 415027cb, 	 0, 		0, 			1, 			1, 		0, 		0 
bd43d356, c365a36b, 412fa90d, 412fa90d, 	 2, 		0, 			1, 			1, 		0, 		0 
41746f6d, c13a2a8e, c331c197, c331c197, 	 3, 		0, 			0, 			1, 		0, 		0 
3f478ca8, bcd8e9a1, bca914ca, bca914ca, 	 0, 		0, 			1, 			1, 		0, 		0 
c2597724, bcf3bb3b, 3fcf0b23, 3fcf0b23, 	 4, 		0, 			1, 			1, 		0, 		0 
be1b4fd4, 4119c2a7, bfba919c, bfba919c, 	 2, 		0, 			0, 			1, 		0, 		0 
3e6d1f6f, c3eece1c, c2dd3223, c2dd3223, 	 2, 		0, 			1, 			1, 		0, 		0 
40151c69, c2600520, c3027bd9, c3027bd9, 	 2, 		0, 			0, 			1, 		0, 		0 
41d483c5, 4118b0bc, 437d81e7, 437d81e7, 	 1, 		0, 			1, 			1, 		0, 		0 
439367ea, bfec5432, c4081447, c4081447, 	 4, 		1, 			0, 			1, 		0, 		0 
3bd2d019, c1744fd6, bdc93016, bdc93014, 	 1, 		0, 			1, 			0, 		0, 		0 
be4ac897, bd877ddc, 3c56a6f4, 3c56a6f4, 	 4, 		1, 			1, 			1, 		0, 		0 
3c1ddb4d, bf71a3ff, bc150093, bc150093, 	 1, 		0, 			1, 			1, 		0, 		0 
bb822369, 3d14e39d, b917605c, b917605a, 	 0, 		1, 			0, 			0, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
c1db8c65, bc1ae5c9, 3e84d786, 3e84d786, 	 0, 		1, 			1, 			1, 		0, 		0 
